year,week,week_label,minutes_measured,minutes_counterfactual_primary_only,delta_counterfactual_primary_only,minutes_counterfactual_balancing_only,delta_counterfactual_balancing_only,minutes_counterfactual_both,delta_counterfactual_both,cum_minutes_measured,cum_minutes_counterfactual_primary_only,cum_minutes_counterfactual_balancing_only,cum_minutes_counterfactual_both
2025,19,2025-W19,61.21666666666667,82.16666666666667,20.950000000000003,136.73333333333332,75.51666666666665,164.33333333333334,103.11666666666667,2015.4,2449.8333333333335,2732.933333333333,3208.666666666667
2025,20,2025-W20,298.1166666666667,329.1666666666667,31.05000000000001,181.03333333333333,-117.08333333333334,205.71666666666667,-92.4,2313.516666666667,2779.0,2913.9666666666662,3414.3833333333337
2025,23,2025-W23,184.16666666666666,207.66666666666666,23.5,183.68333333333334,-0.48333333333332007,204.4,20.23333333333335,2497.6833333333334,2986.6666666666665,3097.6499999999996,3618.7833333333338
2025,24,2025-W24,95.45,112.06666666666666,16.61666666666666,163.21666666666667,67.76666666666667,182.13333333333333,86.68333333333332,2593.133333333333,3098.733333333333,3260.8666666666663,3800.916666666667
2025,25,2025-W25,193.36666666666667,220.38333333333333,27.01666666666665,184.08333333333334,-9.283333333333331,210.58333333333334,17.21666666666667,2786.5,3319.1166666666663,3444.95,4011.5000000000005
2025,26,2025-W26,143.11666666666667,158.93333333333334,15.816666666666663,198.58333333333334,55.46666666666667,217.8,74.68333333333334,2929.616666666667,3478.0499999999997,3643.5333333333333,4229.3
2025,27,2025-W27,68.46666666666667,94.61666666666666,26.14999999999999,134.23333333333332,65.76666666666665,161.41666666666666,92.94999999999999,2998.0833333333335,3572.6666666666665,3777.7666666666664,4390.716666666667
2025,28,2025-W28,42.516666666666666,62.28333333333333,19.766666666666666,95.03333333333333,52.516666666666666,122.43333333333334,79.91666666666667,3040.6000000000004,3634.95,3872.7999999999997,4513.150000000001
2025,29,2025-W29,30.683333333333334,48.333333333333336,17.650000000000002,129.75,99.06666666666666,153.11666666666667,122.43333333333334,3071.2833333333338,3683.2833333333333,4002.5499999999997,4666.266666666667
2025,30,2025-W30,50.233333333333334,60.4,10.166666666666664,150.81666666666666,100.58333333333333,172.78333333333333,122.55,3121.516666666667,3743.6833333333334,4153.366666666667,4839.050000000001
2025,31,2025-W31,66.93333333333334,89.95,23.016666666666666,135.18333333333334,68.25,160.7,93.76666666666665,3188.4500000000003,3833.633333333333,4288.55,4999.750000000001
2025,34,2025-W34,202.43333333333334,224.0,21.566666666666663,187.15,-15.283333333333331,208.31666666666666,5.883333333333326,3390.8833333333337,4057.633333333333,4475.7,5208.0666666666675
2025,35,2025-W35,105.76666666666667,124.23333333333333,18.46666666666667,167.93333333333334,62.16666666666667,196.75,90.98333333333333,3496.6500000000005,4181.866666666667,4643.633333333333,5404.8166666666675
2025,36,2025-W36,108.88333333333334,130.71666666666667,21.83333333333333,175.66666666666666,66.78333333333332,202.2,93.31666666666665,3605.5333333333338,4312.583333333333,4819.3,5607.016666666667
2025,38,2025-W38,131.98333333333332,156.35,24.366666666666674,165.13333333333333,33.150000000000006,191.41666666666666,59.43333333333334,3737.516666666667,4468.933333333333,4984.433333333333,5798.433333333334
2025,39,2025-W39,51.6,75.05,23.449999999999996,120.8,69.19999999999999,146.95,95.35,3789.116666666667,4543.983333333334,5105.233333333334,5945.383333333334
2025,40,2025-W40,86.33333333333333,106.56666666666666,20.233333333333334,145.78333333333333,59.45,171.01666666666668,84.68333333333335,3875.4500000000003,4650.55,5251.016666666667,6116.400000000001
2025,41,2025-W41,60.11666666666667,81.7,21.583333333333336,150.5,90.38333333333333,174.95,114.83333333333331,3935.566666666667,4732.25,5401.516666666667,6291.35
2025,42,2025-W42,62.63333333333333,83.48333333333333,20.85,157.5,94.86666666666667,182.35,119.71666666666667,3998.2000000000003,4815.733333333334,5559.016666666667,6473.700000000001
2025,44,2025-W44,21.283333333333335,35.2,13.916666666666668,103.61666666666666,82.33333333333333,131.58333333333334,110.30000000000001,4019.4833333333336,4850.933333333333,5662.633333333334,6605.283333333334
2025,45,2025-W45,46.85,63.016666666666666,16.166666666666664,125.03333333333333,78.18333333333334,149.5,102.65,4066.3333333333335,4913.95,5787.666666666668,6754.783333333334
2025,46,2025-W46,45.36666666666667,65.0,19.633333333333333,121.73333333333333,76.36666666666667,150.5,105.13333333333333,4111.7,4978.95,5909.4000000000015,6905.283333333334
2025,47,2025-W47,56.0,80.91666666666667,24.91666666666667,106.11666666666666,50.11666666666666,142.4,86.4,4167.7,5059.866666666667,6015.516666666668,7047.683333333333
2025,48,2025-W48,47.05,69.45,22.400000000000006,116.86666666666666,69.81666666666666,145.9,98.85000000000001,4214.75,5129.316666666667,6132.383333333335,7193.583333333333
2025,49,2025-W49,19.966666666666665,34.1,14.133333333333336,144.7,124.73333333333332,165.13333333333333,145.16666666666666,4234.716666666666,5163.416666666667,6277.083333333335,7358.716666666666
2025,50,2025-W50,8.3,18.916666666666668,10.616666666666667,91.46666666666667,83.16666666666667,117.73333333333333,109.43333333333334,4243.016666666666,5182.333333333334,6368.550000000001,7476.45
2025,51,2025-W51,34.4,48.61666666666667,14.216666666666669,114.06666666666666,79.66666666666666,141.2,106.79999999999998,4277.416666666666,5230.950000000001,6482.616666666668,7617.65
2025,52,2025-W52,73.58333333333333,107.05,33.46666666666667,144.53333333333333,70.95,182.98333333333332,109.39999999999999,4350.999999999999,5338.000000000001,6627.1500000000015,7800.633333333333
