year,week,observed_rows,filled_rows,longest_synthetic_streak_seconds,status
2021,14,604547,253,20,saved
2021,15,604539,261,136,saved
2021,16,604353,447,86,saved
2021,17,604498,302,12,saved
2021,18,604539,261,21,saved
2021,19,604401,399,137,saved
2021,20,604023,777,21,saved
2021,21,603178,1622,1221,saved
2021,22,604577,223,21,saved
2021,23,604338,462,138,saved
2021,24,602734,2066,783,saved
2021,25,604722,78,21,saved
2021,26,604586,214,22,saved
2021,27,604551,249,137,saved
2021,28,604552,248,134,saved
2021,29,604708,92,21,saved
2021,30,604222,578,528,saved
2021,31,604718,82,22,saved
2021,32,604542,258,137,saved
2021,33,604682,118,12,saved
2021,34,604487,313,21,saved
2021,35,604594,206,21,saved
2021,36,604571,229,22,saved
2021,37,604441,359,137,saved
2021,38,604670,130,21,saved
2021,39,604756,44,11,saved
2021,40,604766,34,22,saved
2021,41,604601,199,140,saved
2021,42,604751,49,11,saved
2021,43,604708,3692,3600,skipped_quality
2021,44,604607,193,31,saved
2021,45,604383,417,140,saved
2021,46,604666,134,32,saved
2021,47,604724,76,21,saved
2021,48,604727,73,11,saved
2021,49,604744,56,21,saved
2021,50,604542,258,136,saved
2021,51,604772,28,11,saved
2021,52,604796,4,3,saved
2022,1,604670,130,31,saved
2022,2,604531,269,145,saved
2022,3,604679,121,32,saved
2022,4,604539,261,22,saved
2022,5,604512,288,35,saved
2022,6,604423,377,140,saved
2022,7,604607,193,67,saved
2022,8,604665,135,12,saved
2022,9,604601,199,12,saved
2022,10,571106,33694,33138,skipped_quality
2022,11,527435,77365,26846,skipped_quality
2022,12,586492,18308,14560,skipped_quality
2022,13,604557,243,11,saved
2022,14,604655,145,22,saved
2022,15,604484,316,143,saved
2022,16,604669,131,11,saved
2022,17,604480,320,20,saved
2022,18,604610,190,19,saved
2022,19,604455,345,143,saved
2022,20,604671,129,21,saved
2022,21,604708,92,21,saved
2022,22,604726,74,20,saved
2022,23,604585,215,13,saved
2022,24,604464,336,139,saved
2022,25,604609,191,30,saved
2022,26,604719,81,11,saved
2022,27,604650,150,20,saved
2022,28,604415,385,143,saved
2022,29,604663,137,21,saved
2022,30,604504,296,138,saved
2022,31,604640,160,21,saved
2022,32,604488,312,149,saved
2022,33,604626,174,22,saved
2022,34,604624,176,20,saved
2022,35,255456,349344,349200,skipped_quality
2022,39,176350,428450,428400,skipped_quality
2022,40,604599,201,21,saved
2022,41,604540,260,140,saved
2022,42,604746,54,11,saved
2022,43,604758,3642,3600,skipped_quality
2022,44,604752,48,21,saved
2022,45,604543,257,140,saved
2022,46,604784,16,3,saved
2022,47,604763,37,11,saved
2022,48,604772,28,11,saved
2022,49,604778,22,11,saved
2022,50,604348,452,257,saved
2022,51,604772,28,11,saved
2022,52,604777,23,11,saved
2023,1,604782,18,11,saved
2023,2,604623,177,137,saved
2023,3,604771,29,11,saved
2023,4,604758,42,11,saved
2023,5,604783,17,11,saved
2023,6,604606,194,170,saved
2023,7,604612,188,161,saved
2023,8,604773,27,11,saved
2023,9,604760,40,11,saved
2023,10,604768,32,11,saved
2023,11,604641,159,137,saved
2023,12,601181,3619,3600,skipped_quality
2023,13,604785,15,1,saved
2023,14,604780,20,11,saved
2023,15,604623,177,137,saved
2023,16,604636,164,152,saved
2023,17,603903,897,276,saved
2023,18,604768,32,11,saved
2023,19,603957,843,591,saved
2023,20,604766,34,12,saved
2023,21,604788,12,11,saved
2023,22,604767,33,11,saved
2023,23,604749,51,17,saved
2023,24,604423,377,145,saved
