period_s,amplitude
2.3361453601557427,0.06640024694506637
2.3357664233576645,0.06736157355571953
2.335387609471294,0.06805706491617462
2.335008918436841,0.06833804441541497
2.3346303501945527,0.06784750819924525
2.334251904684714,0.06748382747991448
2.33387358184765,0.06657939343733692
2.333495381623724,0.0652730049330663
2.3331173039533377,0.06376669424665499
2.332739348776932,0.06210733936966058
2.332361516034985,0.06043967668362112
2.3319838056680164,0.058934879775972074
2.3316062176165806,0.05786437104663486
2.3312287518212726,0.05680519526353309
2.330851408222726,0.05619741780476247
2.330474186761612,0.05599482659136319
2.330097087378641,0.056842526351115065
2.329720110014561,0.05541958722001062
2.3293432546101585,0.05464381805104286
2.328966521106259,0.0544355042356204
2.3285899094437257,0.05431653558387784
2.3282134195634603,0.054316427252969986
2.327837051406401,0.05385704786937057
2.3274608049135286,0.05360943060411352
2.3270846800258567,0.05374501602090935
2.32670867668444,0.053575023573078195
2.326332794830372,0.05323625433987071
2.325957034404781,0.05322667583116807
2.3255813953488373,0.053313043938126636
2.325205877603746,0.05325612822856242
2.324830481110752,0.053052230130932
2.324455205811138,0.05323333333637607
2.324080051646224,0.0529551137010582
2.3237050185573667,0.05298895037549947
2.323330106485963,0.053041626472276046
2.3229553153734472,0.05298825105487356
2.32258064516129,0.05277428492328945
2.3222060957910013,0.05276257613713083
2.321831667204128,0.052898328714079686
2.321457359342254,0.05277253784449872
2.3210831721470018,0.05262373136572763
2.320709105560032,0.05271671087457502
2.3203351595230424,0.05286296375154336
2.319961333977767,0.052756391060508695
2.31958762886598,0.052785415534857986
2.319214044129489,0.05290518432978407
2.318840579710145,0.052686499013699976
2.318467235549832,0.052615640635076205
2.3180940115904702,0.052545728725455806
2.317720907774022,0.05259127249750455
2.317347924042485,0.052579552544393136
2.316975060337892,0.0527298153776162
2.316602316602317,0.052633341052885245
2.3162296927778674,0.05268502238776295
2.31585718880669,0.05254644298065897
2.315484804630969,0.05258281683982498
2.315112540192926,0.05232928218653665
2.314740395434818,0.05228779808666877
2.3143683702989395,0.05218649854596995
2.3139964647276234,0.052278788083816044
2.313624678663239,0.05224735225112892
2.3132530120481927,0.05231669434489511
2.312881464824928,0.05217877595543648
2.312510036935924,0.05225904328390258
2.3121387283237,0.0521576447816324
2.311767538930808,0.05245626698595116
2.31139646869984,0.05259798171359871
2.311025517573424,0.05254341156659512
2.310654685494224,0.05215489081360398
2.310283972404941,0.05179960019812712
2.309913378248316,0.052077803969833976
2.309542902967121,0.05196275069351057
2.3091725465041693,0.05196466723563692
2.308802308802309,0.052196570060397775
2.3084321898044244,0.0520822199435013
2.308062189453438,0.05245226182809645
2.3076923076923075,0.052854872319910526
2.307322544464028,0.05230781891305385
2.306952899711631,0.05192865987534102
2.306583373378184,0.05207023275135792
2.3062139654067906,0.05191755257904957
2.3058446757405924,0.05180465711535608
2.3054755043227666,0.051648956984431484
2.3051064510965262,0.05187711195676965
2.3047375160051216,0.05179164879413293
2.304368698991839,0.05177823828491627
2.304,0.051802352507249926
2.303631418972964,0.05165234186276284
2.3032629558541267,0.051811166003306985
2.302894610586918,0.05177855969841336
2.3025263831148064,0.05189112958542117
2.302158273381295,0.05192795108150648
2.301790281329924,0.05166867421084229
2.3014224069042672,0.051681933097845835
2.3010546500479387,0.05179692616551369
2.3006870107045856,0.052002192984604075
2.3003194888178915,0.052350540026564946
2.299952084331576,0.05276737388540918
2.299584797189397,0.052255669452302894
2.299217627335143,0.05169421463899858
2.2988505747126435,0.05175067431727528
2.298483639265762,0.051874702113480005
2.298116820938397,0.052015383424156146
2.2977501196744856,0.051903473667571046
2.297383535417996,0.05211985811263835
2.2970170681129365,0.052613948230817484
2.2966507177033493,0.05234708906275372
2.296284484133312,0.05162049839365345
2.295918367346939,0.05141463146121224
2.295552367288378,0.051421905671955336
2.295186483901817,0.05149279866370597
2.2948207171314743,0.05137454802665474
2.294455066921606,0.05134632926322088
2.2940895332165048,0.05143533718496216
2.293724115960497,0.05151732291590516
2.2933588150979456,0.05148029518477006
2.2929936305732483,0.05161955340596598
2.292628562330839,0.051801453059147476
2.292263610315186,0.05182906528073453
2.2918987744707944,0.05192068391504993
2.2915340547422023,0.05172999570108984
2.2911694510739857,0.05151225053121825
2.290804963410754,0.051473887586227556
2.290440591697153,0.0513287317881911
2.290076335877863,0.05161672544989366
2.2897121958975992,0.0516878650081565
2.289348171701113,0.05160345308738036
2.28898426323319,0.05137371550633998
2.288620470438652,0.05105067108365787
2.288256793262355,0.051277242055843365
2.2878932316491896,0.05116455789862773
2.287529785544083,0.05117164583783485
2.2871664548919948,0.05115436035434775
2.2868032396379228,0.0513636374681218
2.2864401397268974,0.05109315719349292
2.286077155103985,0.051096568312443566
2.2857142857142856,0.05135623063221758
2.285351531502936,0.051317332659838726
2.284988892415106,0.051106150565790376
2.284626368396002,0.051052003031721326
2.284263959390863,0.05093738776274866
2.283901665344964,0.05086363163589851
2.283539486203616,0.05091230261543341
2.283177421912161,0.051152662416326586
2.28281547241598,0.051013522491520025
2.282453637660485,0.05119400367237096
2.282091917591125,0.05078709949142514
2.2817303121533827,0.05062297523196226
2.281368821292776,0.05090285483448675
2.2810074449548554,0.05080907984509242
2.2806461830852074,0.05086547917781663
2.2802850356294537,0.05095607314976092
2.279924002533249,0.05098857443049045
2.2795630837422824,0.050819658380118246
2.2792022792022792,0.051002574129883446
2.278841588858997,0.051001499223580944
2.278481012658228,0.05089315956758669
2.2781205505457995,0.05093126568727304
2.2777602024675736,0.05094957194665446
2.277399968369445,0.050650696091335455
2.277039848197344,0.0509250204615152
2.2766798418972334,0.05096264734603976
2.2763199494151123,0.050768183935542076
2.2759601706970125,0.05085322968610468
2.275600505689001,0.0509219124718663
2.2752409543371783,0.05064728420559039
2.2748815165876777,0.050651353328923746
2.274522192386669,0.05072601533130736
2.274162981680353,0.050719137064966065
2.2738038844149693,0.05052518443000119
2.2734449005367856,0.05079451713717199
2.273086029992107,0.050882180939233856
2.272727272727273,0.050633074542192485
2.2723686286886537,0.05056099143221236
2.272010097822657,0.05045142339560122
2.271651680075722,0.05029442055071767
2.271293375394322,0.05032373664798135
2.2709351837249647,0.05040276573867184
2.270577105014191,0.05053919057188229
2.270219139208576,0.05043800540855124
2.269861286254729,0.050612461112365136
2.269503546099291,0.05043889764362785
2.269145918688938,0.050333146925025884
2.26878840397038,0.05022715911519268
2.268431001890359,0.05026901433316318
2.268073712395653,0.050279354615157965
2.267716535433071,0.05016375667276328
2.2673594709494567,0.05013529105258083
2.267002518891688,0.05013139782096129
2.266645679206674,0.05035389841278997
2.26628895184136,0.05043306947537418
2.2659323367427224,0.050270086851680544
2.2655758338577723,0.050035208553856944
2.265219443133553,0.050227729951307636
2.2648631645171435,0.05036404888658338
2.2645069979556536,0.05016558580393504
2.2641509433962264,0.05050564117063745
2.26379500078604,0.0502600887455125
2.263439170072304,0.05046812550244983
2.263083451202263,0.050536124431021144
2.262727844123193,0.050764102947484166
2.262372348782404,0.05091413246587477
2.2620169651272386,0.051123180901186
2.261661693105073,0.051351025252122554
2.2613065326633164,0.05174689454464808
2.260951483749412,0.05187614063342257
2.260596546310832,0.052019971066382405
2.260241720295088,0.05244057788836884
2.2598870056497176,0.05295503246271592
2.259532402322297,0.05331609016836189
2.259177910260433,0.05390243981960727
2.2588235294117647,0.054440690764267906
2.258469259723965,0.05487407709705461
2.258115101144739,0.0549984120823731
2.257761053621825,0.05509909314329157
2.257407117102994,0.05528750751379799
2.2570532915360504,0.05528528973468105
2.2566995768688294,0.05594965796670625
2.256345973049201,0.056241276329526226
2.2559924800250664,0.056188795150508335
2.255639097744361,0.05605019409545276
2.255285826155051,0.055912078808008414
2.2549326652051365,0.05592293854443321
2.2545796148426493,0.055733556922005704
2.254226675015654,0.05557679017676724
2.253873845672249,0.055538195810429784
2.2535211267605635,0.05494710449004986
2.253168518228759,0.054787738025077054
2.252816020025031,0.054627841997966844
2.252463632097607,0.05435983492270199
2.252111354394745,0.05411850702743559
2.251759186864738,0.05407402641388494
2.25140712945591,0.05397308495109809
2.2510551821166174,0.05396864557934917
2.2507033447952485,0.05452392776486611
2.250351617440225,0.05489317942036848
2.25,0.05483673742083015
2.249648492423059,0.054988561685035395
2.24929709465792,0.05511591983701184
2.248945806653132,0.05491145776123284
2.2485946283572766,0.05474131064581027
2.24824355971897,0.054406568082418345
2.247892600686856,0.05363874101981924
2.2475417512096145,0.05339577343128627
2.247191011235955,0.05285598114824767
2.24684038071462,0.05203244423903433
2.246489859594384,0.05160708035207739
2.2461394478240524,0.05140378331761987
2.245789145352464,0.05089971304018777
2.245438952128489,0.05064449378308173
2.245088868101029,0.049977578977305016
2.2447388932190178,0.049729961640895604
2.244389027431421,0.04949349456799991
2.244039270687237,0.04960692428115594
2.243689622935494,0.04948553722066654
2.243340084125253,0.04931488542531922
2.242990654205608,0.049083977656338984
2.2426413331256816,0.04881372000474291
2.242292120834631,0.04866862208140478
2.241943017281644,0.04884268938791481
2.2415940224159403,0.0488286205471588
2.2412451361867705,0.04892336648305151
2.2408963585434174,0.04902216442842794
2.2405476894351954,0.048810074274288656
2.24019912881145,0.048759211351587846
2.2398506766215585,0.049014902928010536
2.2395023328149297,0.048627771521323644
2.2391540973410047,0.04848269670174673
2.238805970149254,0.04869745943474825
2.2384579511891807,0.04858996575467714
2.23811004041032,0.048302374191009155
2.237762237762237,0.04826972797130291
2.237414543194531,0.04844861335302917
2.237066956656828,0.04849077246925964
2.2367194780987885,0.048513518068749296
2.236372107470104,0.048445289254230764
2.2360248447204967,0.04830129177943072
2.235677689799721,0.048339518823478846
2.23533064265756,0.04848053442959974
2.2349837032438304,0.04830640792899852
2.23463687150838,0.048456698421128694
2.234290147401086,0.04808542127657986
2.2339435308718585,0.048182443668598834
2.2335970218706374,0.048320093397255015
2.2332506203473947,0.048175313498920916
2.232904326252132,0.04839252277505436
2.232558139534884,0.048044917426351245
2.232212060145714,0.04806548374981493
2.231866088034718,0.04809616083578321
2.2315202231520224,0.04818028919261879
2.231174465447784,0.04823067872461679
2.230828814872192,0.04817690511947984
2.2304832713754648,0.04819276602169172
2.230137834907852,0.048242010711417295
2.229792505419635,0.04831744598676653
2.229447282861124,0.048112245893645496
2.2291021671826625,0.04793022263741416
2.228757158334623,0.04792798489473493
2.2284122562674096,0.04803732702655395
2.228067460931456,0.047943786704259354
2.227722772277228,0.04820638242841465
2.2273781902552203,0.04799525134309386
2.22703371481596,0.04795236978296109
2.226689345910005,0.04773752111617075
2.226345083487941,0.047994182880279145
2.2260009275003863,0.0482677740932638
2.2256568778979906,0.0482956400782514
2.2253129346314324,0.0482142040850332
2.224969097651422,0.048232078732267994
2.2246253669086977,0.04818295190902711
2.2242817423540315,0.04779672735241775
2.223938223938224,0.04782703456402751
2.2235948116121063,0.047818011040784154
2.22325150532654,0.04774812856831132
2.222908305032417,0.04770386054808863
2.2225652106806604,0.04811450322817538
2.2222222222222223,0.04873060885148594
2.221879339608085,0.04820734701998808
2.2215365627892627,0.04809898794326764
2.2211938917167977,0.04823901138232788
2.2208513263417644,0.0481741716377149
2.220508866615266,0.047792121134769744
2.2201665124884364,0.04766269127991695
2.2198242639124404,0.047550649303042716
2.219482120838471,0.04755095038127954
2.219140083217753,0.04755862416756594
2.2187981510015407,0.047526193642789503
2.2184563241411186,0.04748130244665855
2.2181146025878005,0.04762956495863864
2.217772986292931,0.04748882540030861
2.217431475207884,0.047410155222539115
2.2170900692840645,0.0473363470133184
2.216748768472906,0.04762411008057196
2.2164075727258736,0.047588302566641115
2.21606648199446,0.04753078950865076
2.2157254962301893,0.047612384189425
2.2153846153846155,0.04812562065338373
2.2150438394093217,0.048500924129847675
2.2147031682559213,0.048227436496690285
2.2143626018760574,0.047645765537831536
2.2140221402214024,0.04740271901200915
2.2136817832436586,0.04775359571188692
2.2133415308945588,0.04778258830197551
2.213001383125864,0.0474877502653235
2.212661339889367,0.04770185912953029
2.2123214011368875,0.04831156125853146
2.2119815668202767,0.04819103064557122
2.2116418368914146,0.04780794526971153
2.211302211302211,0.047465377536054267
2.210962690004606,0.04747667586448203
2.210623272950568,0.047585735770919235
2.210283960092095,0.04717370612269174
2.209944751381216,0.047053538810529615
2.2096056467699863,0.04706485132185302
2.209266646210494,0.04692986362045011
2.208927749654855,0.046948158262195894
2.208588957055215,0.04681494051204122
2.208250268363748,0.04675992510461684
2.2079116835326587,0.04685207792614952
2.2075732025141805,0.04682248460251258
2.2072348252605765,0.047138875618889374
2.206896551724138,0.047122995725323295
2.2065583818571866,0.04677650893796686
2.206220315612073,0.046838069979455506
2.2058823529411766,0.0468453938477359
2.205544493796906,0.046742233323934436
2.2052067381317,0.04673096669887192
2.2048690858980247,0.04668084910896705
2.204531537048377,0.046628802309434496
2.2041940915352827,0.04688944479163379
2.203856749311295,0.04679489903964275
2.2035195103289977,0.04670628937436704
2.2031823745410035,0.04631393318016353
2.202845341899954,0.04661569218601165
2.20250841235852,0.04688604346340185
2.202171585869399,0.04692810782984223
2.201834862385321,0.04651314729785655
2.201498241859043,0.04631092385998902
2.2011617242433505,0.04642454420462929
2.2008253094910595,0.04661301854010542
2.2004889975550124,0.04687298196801067
2.2001527883880825,0.04807088974542599
2.1998166819431715,0.047738086639390456
2.199480678173209,0.046749177823963844
2.1991447770311545,0.046511639377918745
2.198808978469996,0.04631763407275911
2.198473282442748,0.046454224840046666
2.1981376889024578,0.04632430375773232
2.197802197802197,0.04621831703047104
2.197466809095071,0.04617929857241836
2.197131522734208,0.046109061642210354
2.196796338672769,0.04618073822575651
2.196461256863941,0.046293670214597724
2.1961262772609422,0.04641050224395943
2.195791399817017,0.046175743699501476
2.19545662448544,0.046114448444275
2.1951219512195124,0.04611417635980054
