year,week,minutes_outside_nominal
2018,29,203.83333333333334
2018,30,208.1
2018,31,274.55
2018,32,277.31666666666666
2018,33,229.93333333333334
2018,34,313.1166666666667
2018,35,167.93333333333334
2018,36,180.35
2018,37,319.06666666666666
2018,38,379.3333333333333
2018,39,268.65
2018,40,419.5833333333333
2018,41,317.81666666666666
2018,42,231.6
2018,43,315.85
2018,44,227.0
2018,45,185.6
2018,46,309.23333333333335
2018,47,225.2
2018,48,252.01666666666668
2018,49,269.95
2018,50,139.06666666666666
2018,51,267.85
2018,52,242.16666666666666
2019,1,200.05
2019,2,248.01666666666668
2019,3,219.58333333333334
2019,4,158.38333333333333
2019,5,150.03333333333333
2019,6,176.31666666666666
2019,7,383.73333333333335
2019,8,350.0
2019,9,271.23333333333335
2019,10,155.66666666666666
2019,11,206.68333333333334
2019,12,420.3
2019,14,305.8
2019,15,164.85
2019,16,250.16666666666666
2019,17,365.6166666666667
2019,20,213.81666666666666
2019,21,376.8333333333333
2019,22,289.56666666666666
2019,23,464.78333333333336
2019,24,356.1166666666667
2019,25,263.21666666666664
2019,26,310.0
2019,27,150.26666666666668
2019,28,181.91666666666666
2019,29,154.96666666666667
2019,30,166.98333333333332
2019,31,185.48333333333332
2019,32,148.75
2019,33,255.85
2019,34,234.4
2019,35,346.76666666666665
2019,36,197.8
2019,37,283.45
2019,38,238.85
2019,39,205.58333333333334
2019,40,347.0
2019,41,216.35
2019,42,268.25
2019,43,237.26666666666668
2019,44,253.11666666666667
2019,45,159.91666666666666
2019,46,227.28333333333333
2019,47,190.38333333333333
2019,48,168.46666666666667
2019,49,276.9166666666667
2019,50,278.03333333333336
2019,51,212.4
2019,52,350.51666666666665
2020,1,235.7
2020,2,235.6
2020,3,144.23333333333332
2020,4,203.65
2020,5,142.05
2020,6,201.9
2020,7,230.9
2020,8,302.43333333333334
2020,9,311.4
2020,10,223.96666666666667
2020,11,257.8666666666667
2020,12,274.53333333333336
2020,14,208.73333333333332
2020,15,175.18333333333334
2020,16,202.68333333333334
2020,17,209.26666666666668
2020,18,128.6
2020,19,176.08333333333334
2020,20,202.43333333333334
2020,21,264.68333333333334
2020,22,125.65
2020,23,251.06666666666666
2020,24,224.33333333333334
2020,25,239.93333333333334
2020,26,233.18333333333334
2020,27,177.98333333333332
2020,28,101.73333333333333
2020,29,37.083333333333336
2020,30,87.06666666666666
2020,31,78.25
2020,34,158.3
2020,35,146.23333333333332
2020,37,237.83333333333334
2020,38,302.3333333333333
2020,39,254.43333333333334
2020,40,157.46666666666667
2020,41,135.96666666666667
2020,43,136.45
2020,44,233.15
2020,46,197.48333333333332
2020,47,208.5
2020,48,85.93333333333334
2020,49,203.68333333333334
2020,50,181.06666666666666
2020,51,93.5
2020,52,131.11666666666667
2020,53,104.25
2021,1,67.23333333333333
2021,3,100.4
2021,4,163.08333333333334
2021,5,128.26666666666668
2021,6,210.05
2021,7,251.23333333333332
2021,8,350.05
2021,9,306.2
2021,10,211.51666666666668
2021,11,172.66666666666666
2021,13,325.35
2021,14,359.4
2021,15,168.51666666666668
2021,16,379.96666666666664
2021,17,178.93333333333334
2021,18,307.1666666666667
2021,19,248.5
2021,20,255.36666666666667
2021,21,215.43333333333334
2021,22,153.36666666666667
2021,23,216.83333333333334
2021,24,265.5833333333333
2021,25,143.5
2021,26,155.48333333333332
2021,27,123.45
2021,28,123.08333333333333
2021,29,98.26666666666667
2021,30,186.93333333333334
2021,31,133.61666666666667
2021,32,193.66666666666666
2021,33,249.78333333333333
2021,34,291.75
2021,35,264.6666666666667
2021,36,119.96666666666667
2021,37,122.93333333333334
2021,38,203.66666666666666
2021,39,345.51666666666665
2021,40,225.33333333333334
2021,41,256.55
2021,42,344.8833333333333
2021,43,190.4
2021,44,163.31666666666666
2021,45,188.95
2021,46,270.96666666666664
2021,47,286.8
2021,48,118.56666666666666
2021,49,123.11666666666666
2021,50,199.45
2021,51,110.21666666666667
2021,52,207.75
2022,1,112.9
2022,2,200.11666666666667
2022,3,196.16666666666666
2022,4,188.46666666666667
2022,5,182.33333333333334
2022,6,214.95
2022,7,171.35
2022,8,252.61666666666667
2022,9,136.16666666666666
2022,13,179.48333333333332
2022,14,274.95
2022,15,179.95
2022,16,211.75
2022,17,183.65
2022,18,217.1
2022,19,329.5
2022,20,202.68333333333334
2022,21,259.05
2022,22,115.56666666666666
2022,23,178.0
2022,24,263.65
2022,25,179.05
2022,26,145.93333333333334
2022,27,257.9166666666667
2022,28,100.46666666666667
2022,29,144.6
2022,30,74.75
2022,31,224.61666666666667
2022,32,130.0
2022,33,285.35
2022,34,197.83333333333334
2022,40,319.65
2022,41,208.53333333333333
2022,42,180.26666666666668
2022,43,187.21666666666667
2022,44,112.51666666666667
2022,45,197.7
2022,46,94.96666666666667
2022,47,150.98333333333332
2022,48,83.03333333333333
2022,49,77.01666666666667
2022,50,159.86666666666667
2022,51,117.8
2022,52,284.5833333333333
2023,1,133.61666666666667
2023,2,250.0
2023,3,121.5
2023,4,240.91666666666666
2023,5,120.06666666666666
2023,6,222.61666666666667
2023,7,164.23333333333332
2023,8,166.25
2023,9,132.76666666666668
2023,10,79.78333333333333
2023,11,286.56666666666666
2023,13,270.18333333333334
2023,14,112.91666666666667
2023,15,259.85
2023,16,270.4
2023,17,251.03333333333333
2023,18,284.5833333333333
2023,19,225.61666666666667
2023,20,284.6333333333333
2023,21,314.0
2023,22,264.03333333333336
2023,23,231.53333333333333
2023,24,181.83333333333334
2023,25,194.33333333333334
2023,26,263.1
2023,27,110.81666666666666
2023,32,285.1666666666667
2023,33,166.68333333333334
2023,34,87.41666666666667
2023,35,174.65
2023,36,236.83333333333334
2023,37,199.93333333333334
2023,38,318.6
2023,39,220.83333333333334
2023,40,203.28333333333333
2023,41,268.93333333333334
2023,42,107.81666666666666
2023,43,92.56666666666666
2023,44,154.43333333333334
2023,45,98.76666666666667
2023,46,117.53333333333333
2023,47,328.1166666666667
2023,48,155.56666666666666
2023,49,83.16666666666667
2023,50,190.76666666666668
2023,51,238.61666666666667
2023,52,101.98333333333333
2024,1,62.88333333333333
2024,2,141.81666666666666
2024,3,119.08333333333333
2024,4,372.65
2024,5,276.28333333333336
2024,6,138.53333333333333
2024,7,139.01666666666668
2024,8,207.98333333333332
2024,9,134.4
2024,10,95.71666666666667
2024,11,243.93333333333334
2024,12,122.68333333333334
2024,14,313.78333333333336
2024,15,669.5
2024,16,214.6
2024,17,124.66666666666667
2024,18,225.06666666666666
2024,19,274.68333333333334
2024,20,368.3333333333333
2024,21,360.73333333333335
2024,22,245.01666666666668
2024,23,341.75
2024,24,208.53333333333333
2024,25,161.56666666666666
2024,26,413.25
2024,27,254.23333333333332
2024,28,113.38333333333334
2024,29,116.58333333333333
2024,30,108.98333333333333
2024,31,63.583333333333336
2024,32,196.95
2024,33,172.23333333333332
2024,34,386.23333333333335
2024,35,308.3833333333333
2024,36,152.85
2024,37,255.71666666666667
2024,38,150.4
2024,39,239.23333333333332
2024,40,125.16666666666667
2024,41,171.1
2024,42,160.18333333333334
2024,43,210.08333333333334
2024,44,133.01666666666668
2024,45,143.63333333333333
2024,46,171.41666666666666
2024,47,147.65
2024,51,141.35
2024,52,95.9
2025,1,149.71666666666667
2025,2,111.91666666666667
2025,3,256.23333333333335
2025,4,88.28333333333333
2025,5,139.81666666666666
2025,6,52.15
2025,7,45.983333333333334
2025,8,142.18333333333334
2025,9,94.95
2025,10,86.51666666666667
2025,11,39.56666666666667
2025,12,117.4
2025,14,101.3
2025,15,147.9
2025,16,80.41666666666667
2025,17,72.83333333333333
2025,18,227.01666666666668
2025,19,61.21666666666667
2025,20,298.1166666666667
2025,23,184.16666666666666
2025,24,95.45
2025,25,193.36666666666667
2025,26,143.11666666666667
2025,27,68.46666666666667
2025,28,42.516666666666666
2025,29,30.683333333333334
2025,30,50.233333333333334
2025,31,66.93333333333334
2025,34,202.43333333333334
2025,35,105.76666666666667
2025,36,108.88333333333334
2025,38,131.98333333333332
2025,39,51.6
2025,40,86.33333333333333
2025,41,60.11666666666667
2025,42,62.63333333333333
2025,43,79.83333333333333
2025,44,21.283333333333335
2025,45,46.85
2025,46,45.36666666666667
2025,47,56.0
2025,48,47.05
2025,49,19.966666666666665
2025,50,8.3
2025,51,34.4
2025,52,73.58333333333333
