week,year,iso_week,fast_sub_primary_5s_to_30s,primary_local_control_30s_to_2m,midrange_2m_to_15m,balancing_15m_to_2h,slow_over_2h_to_12h
2015-W27,2015,27,0.004749907657055844,0.016776073881499022,0.013083197932339221,0.023720199953663874,0.02652692739196797
2015-W28,2015,28,0.004740335899564651,0.017058668343322397,0.012758188738466906,0.022282995507529865,0.02713908121140919
2015-W29,2015,29,0.004400646148398448,0.01615903566048589,0.011692624023454418,0.019374038735850228,0.023993917043130995
2015-W30,2015,30,0.004582756759546575,0.015564804968617067,0.01146027981715062,0.02084475931747451,0.02731284816301891
2015-W31,2015,31,0.004503703117197507,0.015705113031825403,0.011646773613049647,0.01771582501379342,0.026873242592866203
2015-W32,2015,32,0.0047394709137029405,0.01591456215275277,0.01294722407533032,0.020131042327844958,0.025514384938518053
2015-W33,2015,33,0.0043970859210165775,0.017104918061645113,0.013249842604351931,0.020565777535031415,0.029750682863236844
2015-W34,2015,34,0.00473377492759609,0.017125679587706336,0.012786854375990501,0.020585398762211615,0.031113069489473757
2015-W35,2015,35,0.005051318290343565,0.01769914954962285,0.014013703871559183,0.02315920570510561,0.028213997661772162
2015-W36,2015,36,0.004914315861818395,0.017122527311768384,0.014158990410870348,0.022084548278860732,0.02856612955143045
2015-W37,2015,37,0.0047801956468266965,0.016901529886083417,0.013754022550049346,0.021383860710295775,0.030072152927178943
2015-W38,2015,38,0.004947083985044887,0.016719594252539174,0.013800493085834137,0.023788452662000487,0.031526946717680616
2015-W39,2015,39,0.004697068185768688,0.016339323492980187,0.013456751412502303,0.020338025033573803,0.02896830246154335
2015-W40,2015,40,0.0046905179288159555,0.01643232552990848,0.013117658680982277,0.022884064640008087,0.02636493784838919
2015-W41,2015,41,0.0043698236531029685,0.016374321694111016,0.01344019908590179,0.0203665348237275,0.025407083033458622
2015-W43,2015,43,0.0038644891700061967,0.01656913533178789,0.013384860511696406,0.02122173459014296,0.026822982565250623
2015-W44,2015,44,0.003802315564632653,0.015998643843661176,0.013330387511043068,0.022551692936528145,0.02737380350614927
2015-W45,2015,45,0.003705601906898811,0.015571762609601723,0.013390540731260787,0.021574103688140715,0.02691227229465925
2015-W46,2015,46,0.003895272431780313,0.01474455026261678,0.013375938425930371,0.02309474647720245,0.02617098827817788
2015-W47,2015,47,0.0035145662858714587,0.013293376817109489,0.012595662416676574,0.022835797398442697,0.025595134999976933
2015-W48,2015,48,0.0034100994709665594,0.013137144591835322,0.012450261589739338,0.022724790398043686,0.031570394346709274
2015-W49,2015,49,0.003577570430981499,0.01368709169666623,0.012928809283550134,0.021736136400939673,0.031161963268341957
2015-W50,2015,50,0.0033732044139307272,0.013599505464014401,0.01297585883054782,0.022210416386762636,0.02693221241506564
2015-W51,2015,51,0.003409302831997919,0.013523438030167685,0.012243445925253393,0.022465387659710474,0.029481238872184016
2015-W52,2015,52,0.0033135738302772877,0.013485832708987837,0.01194459152379669,0.023168693808861884,0.029504109912707917
2015-W53,2015,53,0.0028602919275689804,0.012318168371822865,0.011528288826749408,0.02173838792634927,0.02821490282798365
2016-W01,2016,1,0.0025523247023902878,0.011176046225152829,0.01080789573367296,0.020997312695075345,0.031178762610759324
2016-W02,2016,2,0.0026473320693242903,0.011337217322712805,0.011351410077539684,0.028161324356688767,0.03186446837364491
2016-W03,2016,3,0.002388078301300582,0.011109277763733072,0.010179208466543008,0.026948791316650848,0.03147958977868436
2016-W04,2016,4,0.003119265559481719,0.014074096678729164,0.01339499837941121,0.025290339044996602,0.030629164716547124
2016-W05,2016,5,0.003040622168978338,0.014330394633163369,0.01389719620848519,0.023834638917044855,0.03060371967450836
2016-W06,2016,6,0.0031053818308789173,0.014371217481577823,0.013543874779562273,0.023757085333375876,0.028717675875900642
2016-W07,2016,7,0.003009104887361273,0.014477068315682627,0.013324457876887161,0.026859025529134117,0.030906962676410077
2016-W08,2016,8,0.0029400781645865363,0.015034129974010048,0.013397907401803324,0.023584416768511564,0.029410229707801223
2016-W09,2016,9,0.0029470601019875335,0.014185549499706185,0.012987813326475157,0.025321618573543536,0.032200314713529146
2016-W10,2016,10,0.0029746421603535135,0.014867052812450175,0.012873014566725115,0.024477474715583453,0.027642034550102643
2016-W11,2016,11,0.0033081490147963293,0.015984471934644855,0.013836176194014144,0.02594304406994797,0.03261079421537576
2016-W13,2016,13,0.0035327208604625402,0.01590232879842454,0.01397729166032919,0.022240828964665477,0.03073049657832704
2016-W14,2016,14,0.0035188171459396432,0.01682756404661848,0.014404652514755251,0.023801132446695433,0.029974758248056652
2016-W15,2016,15,0.00365335741800764,0.01724282044746853,0.014728424648838268,0.024331922406916694,0.03154514184505049
2016-W16,2016,16,0.003989294443716023,0.017628394319586772,0.015176215832418499,0.02521208772949292,0.032710600181553875
2016-W17,2016,17,0.0037768020946628796,0.016008301254224186,0.01478546121230329,0.026606094174373998,0.03636894269979482
2016-W18,2016,18,0.004438643075108951,0.017100627579209236,0.015569200972664385,0.02716821027601285,0.03043005557140768
2016-W19,2016,19,0.004978190353064247,0.017560080003604643,0.01548589891464539,0.024124211161988245,0.02971889655403808
2016-W20,2016,20,0.0047347231643284395,0.017441846786166563,0.014814624313486425,0.026344528340430277,0.03179200007216507
2016-W21,2016,21,0.004946262100796602,0.018910610268733162,0.015564934036725117,0.02603494576272642,0.02863262093140418
2016-W22,2016,22,0.0053585496806533486,0.01880898046576075,0.01426391321532131,0.024779433877418083,0.029403860682108967
2016-W24,2016,24,0.004897321866386097,0.018787773183783975,0.014046478093584343,0.022195762688618156,0.02609911498616927
2016-W25,2016,25,0.005175396497256305,0.018423515485902934,0.014357941278346966,0.023321965486258752,0.03049886708779804
2016-W27,2016,27,0.00509137515706048,0.018867559809912685,0.013806938910132155,0.02462860368839572,0.02924587808169456
2016-W28,2016,28,0.004604428883347803,0.017456854700935116,0.01315960838036653,0.022752771330031014,0.028233661987557734
2016-W29,2016,29,0.0045306460004756735,0.01582399741957866,0.011774483057047834,0.020238091986102658,0.027182155497188172
2016-W30,2016,30,0.00472267367289086,0.016007435027281285,0.01215755253038038,0.02324539935750569,0.03010029068596459
2016-W31,2016,31,0.004556843113520892,0.016358612896130265,0.013520095049201274,0.021720511691695567,0.02959496624624076
2016-W32,2016,32,0.004866246014290625,0.0184372443212979,0.01456986546243264,0.02486034362558659,0.030986002330066615
2016-W33,2016,33,0.004794720474917025,0.018139088640408585,0.01438091909835445,0.022045915054759457,0.030041405587460965
2016-W34,2016,34,0.004520707853728681,0.017963883430979904,0.014288999659016312,0.024516188383505066,0.028296640849111168
2016-W35,2016,35,0.004704738859063562,0.017831841493147888,0.013688798244525655,0.021473193108618817,0.029305273516802514
2016-W36,2016,36,0.004741298830398946,0.01764362717071667,0.01342410025053317,0.023362948763161567,0.031812957108737626
2016-W37,2016,37,0.004607964105789284,0.017528414825179927,0.01392934853303546,0.02271249849382605,0.026269952031213822
2016-W38,2016,38,0.004369365120213011,0.0177461826851353,0.013892625899012839,0.022096159211865994,0.025789103484180394
2016-W39,2016,39,0.004519528207402669,0.017825696290573,0.014098769652228078,0.02383526938151331,0.029198328714770197
2016-W40,2016,40,0.004236643799245944,0.016585832804596114,0.01413223724702926,0.02144622631728373,0.029226496259971802
2016-W41,2016,41,0.0039050354465823608,0.01529807670013762,0.012819026707162392,0.02067174623935807,0.028024866068974478
2016-W42,2016,42,0.0038150935035610564,0.014740422465889011,0.013283215630955894,0.020363643617366537,0.024551693932105947
2016-W43,2016,43,0.0038932970267741202,0.014989792421072888,0.013773079567271125,0.023364194653076476,0.026536907103204638
2016-W44,2016,44,0.003425233192488112,0.01329922132508541,0.013460197355183931,0.022892782274737053,0.02481033729316832
2016-W45,2016,45,0.003085229298800438,0.012718600219865794,0.012787325397368743,0.021715341858393956,0.025796541487043384
2016-W46,2016,46,0.00351575593553904,0.014241021788564113,0.013263694315857767,0.022640502390902206,0.026722144059892608
2016-W47,2016,47,0.0027580053583367596,0.01205441368114858,0.011651135168925068,0.02093600542605218,0.024842213198437137
2016-W48,2016,48,0.0027690848706159307,0.012756627341559688,0.01168994753778804,0.02276744648866747,0.02302643178718742
2016-W49,2016,49,0.003252825675792657,0.01366819585082124,0.012246288296802885,0.021275152828542362,0.02348401896120887
2016-W50,2016,50,0.0028846467258356124,0.012466388751377906,0.011671279157430827,0.022434128704080947,0.02559737804193194
2016-W51,2016,51,0.003332851729996051,0.013843252713109551,0.013100804000935587,0.027049247184927013,0.028398388017828114
2016-W52,2016,52,0.0032783335640651817,0.013514519442500227,0.011999697368274389,0.02298480168695128,0.027125791196444128
2017-W01,2017,1,0.002745326186606223,0.012462336620531532,0.011565414720353589,0.020722393924821603,0.030416817662421755
2017-W02,2017,2,0.0030624858600835306,0.014074330728088459,0.013101362678070917,0.022393528116539062,0.02761472603698201
2017-W03,2017,3,0.003065378138091669,0.013801174732964478,0.012646841146100759,0.022822275060511453,0.02498968524366482
2017-W04,2017,4,0.002926716664172011,0.01333838010894042,0.012505450709802765,0.024122334630149848,0.025381231529745342
2017-W05,2017,5,0.0029279258250095247,0.013487921046502944,0.012441758199408022,0.021415033410867527,0.02647451446660256
2017-W06,2017,6,0.0027731333855112285,0.013198268251134076,0.012778720065881244,0.020628191548257825,0.026621888137883347
2017-W07,2017,7,0.0031129842700105908,0.013957256605906009,0.013249203343657234,0.02378282981175938,0.0285717156036784
2017-W08,2017,8,0.0032232641079498674,0.014988022019184647,0.01346798898270039,0.023243047254654925,0.027279896084797427
2017-W09,2017,9,0.003169664890424128,0.0146825451599566,0.01336398553759384,0.024584516804627646,0.029389739539955644
2017-W10,2017,10,0.002762853250851514,0.014525015056042824,0.01397484336082725,0.02606428288749326,0.02948420554664769
2017-W11,2017,11,0.003515130606896744,0.016077278093984192,0.014554251527567228,0.024564379228369064,0.029076576103000733
2017-W13,2017,13,0.0037050908074599677,0.016364345479648934,0.01514133888680328,0.026748411330089816,0.03214832490524783
2017-W14,2017,14,0.0037480360523889744,0.015825186156419195,0.014361601711401278,0.023318569381931758,0.02648020527347187
2017-W15,2017,15,0.0038428165941701525,0.0155767609891353,0.013782034265601593,0.019953507604583844,0.024816419629640523
2017-W16,2017,16,0.0036800014974064195,0.015751077077711468,0.013343292016728141,0.02127668211982516,0.030858829346560347
2017-W17,2017,17,0.003526677665154085,0.016045607309505522,0.014095851117580974,0.02229390853500605,0.02794423551732074
2017-W18,2017,18,0.0040098464882208406,0.017413470345861583,0.014887400568644928,0.02361287282453439,0.03155090791525632
2017-W19,2017,19,0.0038620799349449574,0.016238134818748962,0.014358092495258053,0.024190765928728115,0.02978201135435074
2017-W20,2017,20,0.004290796417171993,0.017469681052272257,0.014809096759975025,0.021843206916743626,0.026038676312200956
2017-W21,2017,21,0.00480733218427653,0.017237061681231392,0.014361265963462076,0.023844401465195914,0.027122880505356033
2017-W22,2017,22,0.004432336134115503,0.01702941141610396,0.013702360548824363,0.02195623663757463,0.025196950673424645
2017-W23,2017,23,0.004301450136342748,0.015654934635011022,0.013094649264335146,0.02216808663836795,0.02428586945910015
2017-W24,2017,24,0.004903621927483237,0.017656150176684753,0.013904310763214868,0.02160022726246247,0.029611069252708344
2017-W25,2017,25,0.004733721298615337,0.017221576439817178,0.013888635625852689,0.02448545462745969,0.029878585654408398
2017-W26,2017,26,0.00488576206819978,0.01809081737944588,0.013604762390562856,0.02485656517474641,0.02740916785677534
2017-W27,2017,27,0.0046986535793525795,0.017470052377349363,0.012420595658585203,0.022822743869514762,0.02829550355778733
2017-W28,2017,28,0.00481132156289018,0.018009503893070603,0.012377516733022443,0.024261440101578054,0.031225327370298653
2017-W29,2017,29,0.004461125776966978,0.01737142113799011,0.012187111822433164,0.020395489118416175,0.028538793363731677
2017-W30,2017,30,0.004307052173441974,0.01707506915713318,0.012419515205147395,0.021698506633036064,0.02879818355748267
2017-W33,2017,33,0.004834898086640784,0.0187413086611787,0.013486413138437209,0.02502066269099672,0.030064575929275406
2017-W34,2017,34,0.0047451799268424175,0.01691962066846845,0.013086128240186044,0.022534794219758382,0.02568873144663105
2017-W35,2017,35,0.0048448223063148445,0.016492474516198355,0.013473111996054667,0.021403303991550972,0.028250433452376086
2017-W36,2017,36,0.004722446244723531,0.016865611084660993,0.013500321127826873,0.02355333798291086,0.032407028318386134
2017-W37,2017,37,0.004898576132550242,0.01818957137563619,0.013976522607423698,0.022437435891973712,0.02859673649554057
2017-W38,2017,38,0.004261871084146697,0.016913084859723124,0.01347568474086804,0.02189046391487549,0.029442879571780777
2017-W45,2017,45,0.003427608539646601,0.015007333820611085,0.013462435246989646,0.023862462669352543,0.025245470767675
2017-W46,2017,46,0.003182037285714353,0.01417398199453416,0.013019555511698875,0.022739900572037695,0.027635033668143058
2017-W47,2017,47,0.003086150551396023,0.013536374396939456,0.012575972178586699,0.024887173805074356,0.030001755201670376
2017-W48,2017,48,0.0027256665197635268,0.012767643438360381,0.012119657701531965,0.023357925168614076,0.023840612349717426
2017-W49,2017,49,0.002825835803017849,0.014714967613215413,0.013157712767406666,0.021702952908072795,0.02193244555389241
2017-W50,2017,50,0.0027769102084969806,0.012529273884259621,0.012243364536142958,0.021711525388538603,0.02344112078393182
2017-W51,2017,51,0.003041499296038703,0.013355410647674799,0.011913752798731261,0.0225606181106558,0.025532582231823822
2017-W52,2017,52,0.0029038546782206767,0.012450784871540922,0.011759043745167829,0.02322062314847447,0.033332042069046164
2018-W01,2018,1,0.003124590794514055,0.013023564376907283,0.013083923878802438,0.021822930681634253,0.02593476167038004
2018-W02,2018,2,0.002833187718742302,0.013321126891686652,0.012840949445180307,0.02268685502550079,0.02511455106664507
2018-W03,2018,3,0.002820235613876451,0.012982308343978557,0.012708575068189005,0.024395776422255072,0.02331757213964336
2018-W04,2018,4,0.0028391911117890043,0.013408080231319603,0.01270844995753138,0.021582221527958103,0.026385524953269186
2018-W05,2018,5,0.0029227833882006942,0.012933935176642439,0.012990943990730227,0.021463029534662236,0.025940750296160137
2018-W06,2018,6,0.0027751901826486187,0.012645654163507892,0.011616243384595047,0.02268641445773679,0.026512877861602033
2018-W07,2018,7,0.0029239629176531037,0.01333867675264004,0.012567463396805591,0.02102127934613422,0.02802256382717689
2018-W08,2018,8,0.0025828963600233973,0.012906664080157946,0.01212059660150461,0.021616220929254058,0.02347974083789055
2018-W09,2018,9,0.0025577381385703027,0.012696677037460925,0.011756051113552634,0.022079668805384405,0.024041558910817103
2018-W10,2018,10,0.0027884295411069087,0.013022728398733767,0.0128799267335011,0.02052969330201724,0.023707077138454026
2018-W11,2018,11,0.00285039785072999,0.013922025684248893,0.013661960703503786,0.0248993196704738,0.028384711658083043
2018-W13,2018,13,0.0029829622237942553,0.013666733337964828,0.013375773351321459,0.02201327455624274,0.02812972554216137
2018-W14,2018,14,0.0032729975892076034,0.015155198996827206,0.01447643125441021,0.023464562528988948,0.0257076160830369
2018-W15,2018,15,0.0038018842258001396,0.016501243175996428,0.014387032837023334,0.022295520838653056,0.028502231859881603
2018-W16,2018,16,0.004122552698601316,0.01725846821544573,0.015226888924940242,0.023378645037239586,0.0280257854618765
2018-W17,2018,17,0.004302047309469547,0.01814965490232055,0.016355422827573185,0.023332087986869792,0.02839174778856778
